energia_electrica,refrigerador,lavadora,auto_propio,personas_vivienda,mismo_gasto,TLOC,ESTRATO,material_1,material_2,material_3,fuente_agua_1,fuente_agua_2,fuente_agua_3,fuente_agua_4,fuente_agua_5,fuente_agua_6,conexion_drenaje_1,conexion_drenaje_2,conexion_drenaje_3,conexion_drenaje_4,conexion_drenaje_5,tipo_poblacion_R,tipo_poblacion_U
1,1,1,1,6,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,9,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,5,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,4,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,2,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,3,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,7,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,5,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,3,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,1,1,4,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,0,6,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,4,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,6,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,5,1,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,7,1,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,4,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,4,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,2,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,6,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,7,2,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,7,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,2,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,2,1,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1,1,1,0,3,1,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,5,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,5,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,6,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,4,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,2,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,5,1,4,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,6,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,2,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,1,1,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,2,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,4,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,1,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,0,1,1,1,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,4,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,1,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,5,1,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,3,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,0,1,4,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,2,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,3,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,1,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,0,1,2,1,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0,0,1,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,3,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,6,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,3,1,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,3,1,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0,0,1,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,2,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,2,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,3,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,2,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,4,1,4,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,1,1,0,1,1,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,4,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,2,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,3,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,1,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,5,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,6,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,4,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,0,1,5,1,4,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,3,1,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1,1,0,1,3,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,5,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,3,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,5,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,4,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,4,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,0,4,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,3,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,7,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,4,1,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,3,1,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,6,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,4,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,1,1,4,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,5,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,8,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,2,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,4,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,4,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,2,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,4,1,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,2,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,4,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,2,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,5,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,10,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,5,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,3,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,2,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,2,1,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,4,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,2,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,0,5,1,4,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,3,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,3,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,4,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,1,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,6,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,7,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,3,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,3,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,5,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,4,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,3,1,4,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,4,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,5,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,4,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,4,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,5,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,1,1,4,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,9,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,2,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,6,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,3,1,4,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0,0,5,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,7,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,5,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,1,1,4,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,1,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,7,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,1,1,4,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,9,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,5,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,3,1,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,4,1,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,4,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,3,1,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,1,0,0,5,1,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,2,1,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,1,0,0,3,1,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,1,0,0,2,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,5,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,2,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,5,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,2,1,4,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0,1,4,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,5,1,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,1,0,1,9,1,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,2,1,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,6,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,5,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,4,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,5,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,2,1,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,4,1,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,4,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,2,1,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,5,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,0,1,2,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,2,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,2,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,3,1,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1,1,0,0,2,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,2,2,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,1,1,0,1,1,4,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,3,1,4,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,1,1,0,2,1,4,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,1,1,1,5,1,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,2,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,2,1,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1,1,1,1,3,1,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1,1,1,1,3,1,4,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,3,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,2,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0,1,1,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,2,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,1,1,4,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0,0,5,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,1,1,4,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,1,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,5,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,2,1,4,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,5,1,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,2,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,3,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,5,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,5,1,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,4,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,6,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,3,1,4,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,2,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0,0,1,1,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1,1,1,0,2,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,2,1,4,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,2,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,2,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,1,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0,0,2,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,2,1,4,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,2,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0,1,3,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,4,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,4,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,3,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,2,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,4,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0,0,1,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,4,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,3,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,3,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,3,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,2,1,4,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,2,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,2,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,2,1,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,1,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,5,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,3,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,5,1,4,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,3,1,4,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,5,1,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,3,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,3,1,4,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,4,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,1,1,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,4,1,4,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,1,1,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,3,1,4,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0,0,3,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,1,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,6,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,1,4,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,3,1,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
1,1,0,1,2,1,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,3,1,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1,1,0,0,5,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,4,1,4,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,3,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,2,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,4,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,3,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,3,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,7,1,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,2,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,1,3,1,4,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,4,1,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,2,1,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,2,1,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,3,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,2,1,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,1,1,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,2,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,3,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,1,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,3,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,2,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,3,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,5,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,2,1,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,3,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,2,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,3,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,4,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,0,3,1,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,0,4,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,1,3,1,1,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,3,1,1,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,3,1,1,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,3,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,9,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,4,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,3,1,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,6,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,8,2,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,1,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,5,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,4,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,2,1,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,1,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,3,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,2,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,4,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,4,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,4,1,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,4,1,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,4,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,4,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,4,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,3,1,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
